UGS,CATEGORIE,PRODUIT,PRIX,ID,QUANTITE
05187M0501,"FRONT FORK, TRIPLE CLAMP ",FORK WP 85SX 2013,910,373,1
59030029000,"FRONT FORK, TRIPLE CLAMP ",ECROU VILO PAS A DROITE 400/52,"9,3",374,1
47101034114,"FRONT FORK, TRIPLE CLAMP ",TOP TRIPLE CLAMP,"113,4",375,1
47101032114,"FRONT FORK, TRIPLE CLAMP ",BOTTOM TRIPLE CLAMP CPL.,"144,9",376,1
49001081000,"FRONT FORK, TRIPLE CLAMP ",ROULEMENT CONIQUE,"12,3",377,2
0025080256,"FRONT FORK, TRIPLE CLAMP ",HH COLLAR SCREW M8X25,"2,25",378,4
77201038000,"FRONT FORK, TRIPLE CLAMP ",HANDLEBAR CLAMP 28MM,"13,4",379,2
0032100356S,"FRONT FORK, TRIPLE CLAMP ",AH-COLLAR SCREW M10X35 ISA45,"3,85",380,2
5940103903730,"FRONT FORK, TRIPLE CLAMP ",HANDLEB.SUPP. D=28MM H=37MM,"24,75",381,2
0025080306S,"FRONT FORK, TRIPLE CLAMP ",HH COLLAR SCREW M8X30     TX40,"2,55",382,6
49001086000,"FRONT FORK, TRIPLE CLAMP ",COUVERCLE,"2,4",383,1
0770021300,"FRONT FORK, TRIPLE CLAMP ",JOINT O,"0,95",384,1
46001086000,"FRONT FORK, TRIPLE CLAMP ",SCHUTZRING STEUERK. 20,"4,9",385,1
0770360030,"FRONT FORK, TRIPLE CLAMP ",JOINT TORIQUE,"0,95",386,1
0025080206,"FRONT FORK, TRIPLE CLAMP ",HH COLLAR SCREW M8X20,"2,25",387,4
0017060206,"FRONT FORK, TRIPLE CLAMP ",SCREW F. PLASTIC K60X20AL  SW6,"1,15",388,2
47101085000DA,"FRONT FORK, TRIPLE CLAMP ",CLAMP FOR BRAKE HOSE YELLOW,"4,95",389,1
59001092050,"FRONT FORK, TRIPLE CLAMP ",VIS PLASTIQUE DE FOURCHE 2000,"0,9",390,6
47101094000DA,"FRONT FORK, TRIPLE CLAMP ",FORK PROTECTOR SET 85TC YELLOW,21,391,1
00050000931,"FRONT FORK, TRIPLE CLAMP ",STEARING HEAD REP. KIT MINI,"29,3",392,1
00050000921,"FRONT FORK, TRIPLE CLAMP ",HANDLEBAR SUPPORT KIT D28/H37,"60,75",393,1
