UGS,CATEGORIE,PRODUIT,PRIX,ID,POSITION,DESCRIPTION
48601408S2,FRONT FORK DISASSEMBLED 450 FC 2020 ,FORK LEG R/S + TUBE CPL.,"233,75",1,1,1
48601407S2,FRONT FORK DISASSEMBLED 450 FC 2020 ,FORK LEG L/S + TUBE CPL.,"233,75",2,2,1
0025080256,FRONT FORK DISASSEMBLED 450 FC 2020 ,HH COLLAR SCREW M8X25,"2,25",3,3,4
48600692,FRONT FORK DISASSEMBLED 450 FC 2020 ,"RUBBER CAP 26,4X11","1,9",5,4,2
48601484S,FRONT FORK DISASSEMBLED 450 FC 2020 ,ADJUSTMENT SCREW SLOT M20X1 CPL.,"30,5",6,5,1
48601533S,FRONT FORK DISASSEMBLED 450 FC 2020 ,HH COLLAR SCREW M20X1X18 CPL.,"16,25",7,6,1
48601501S1,FRONT FORK DISASSEMBLED 450 FC 2020 ,PISTON ROD LEFT KPL. M12X1,"198,15",9,7,1
48601462S1,FRONT FORK DISASSEMBLED 450 FC 2020 ,SCREW SLEEVE OIL CPL.,"55,25",10,8,1
48601452S1,FRONT FORK DISASSEMBLED 450 FC 2020 ,"SCREW SLEEVE M35,5X0,8","91,7",11,9,1
48600578S,FRONT FORK DISASSEMBLED 450 FC 2020 ,"SPRING (13,9) 37-32 REBOUND CPL.","6,9",12,10,1
48601820S,FRONT FORK DISASSEMBLED 450 FC 2020 ,Ressort detente + guide,"16,25",13,11,1
48602049S,FRONT FORK DISASSEMBLED 450 FC 2020 ,BASEVALVE CPL.,"129,95",15,12,1
48602048S1,FRONT FORK DISASSEMBLED 450 FC 2020 ,"SCREW CAP M51X1,5 CPL.","165,75",17,13,1
48602047S1,FRONT FORK DISASSEMBLED 450 FC 2020 ,"SCREW CAP M51X1,5 CPL.","165,75",18,14,1
00600003,FRONT FORK DISASSEMBLED 450 FC 2020 ,VIS FRAISEE M4X10 TORX,"0,8",19,15,1
48601494S,FRONT FORK DISASSEMBLED 450 FC 2020 ,VALVE M8X1 INCL. SCREW CAP,"30,5",20,16,1
48601671,FRONT FORK DISASSEMBLED 450 FC 2020 ,"FORK OUTER TUBE 49,13X577 DT54 DB60 NATU","273,5",21,17,2
R14047,FRONT FORK DISASSEMBLED 450 FC 2020 ,GUIDE BUSHING SET FORK 48MM,"21,25",22,18,0
RP10012,FRONT FORK DISASSEMBLED 450 FC 2020 ,SEALKIT 48MM SKF BLACK,"48,9",23,19,0
04100002,FRONT FORK DISASSEMBLED 450 FC 2020 ,"X-RING 26,57X3,53 FKM80","4,75",24,20,1
50180222,FRONT FORK DISASSEMBLED 450 FC 2020 ,"JOINT TOR.  NBR 4X1,5","0,8",25,21,1
48601628S,FRONT FORK DISASSEMBLED 450 FC 2020 ,Piston principal ?34 avec joint,"28,7",26,22,1
48601948,FRONT FORK DISASSEMBLED 450 FC 2020 ,"FORK PROTECTION RING 60,1MM","4,6",27,23,2
48602007,FRONT FORK DISASSEMBLED 450 FC 2020 ,STROKE INDICATOR 48MM RED,"3,95",29,24,2
52000235SET,FRONT FORK DISASSEMBLED 450 FC 2020 ,STICKER SET XACT 5 AER CC 182.5X238,"22,15",30,25,1
T14034,FRONT FORK DISASSEMBLED 450 FC 2020 ,Graisse Fuchs IPR2 (250g),"29,9",96,26,0
00062010053,FRONT FORK DISASSEMBLED 450 FC 2020 ,SPEZIAL GREASE AER FORK 50G,"29,9",97,27,0
48601166S1,FRONT FORK DISASSEMBLED 450 FC 2020 ,FORK OIL SAE4 5L,"91,95",98,28,0
R14060,FRONT FORK DISASSEMBLED 450 FC 2020 ,SEALING KIT,"48,9",99,29,0
